# t	x	y	v_x	v_y
#--	--	--	---	---
1.090000	8.992962	2.068480	7.390336	-3.411744
1.100000	9.066718	2.033450	7.375556	-3.502987
1.110000	9.140326	1.997510	7.360805	-3.594047
1.120000	9.213787	1.960661	7.346083	-3.684926
1.130000	9.287101	1.922904	7.331391	-3.775622
1.140000	9.360268	1.884243	7.316728	-3.866137
1.150000	9.433289	1.844678	7.302095	-3.956472
1.160000	9.506164	1.804212	7.287491	-4.046625
1.170000	9.578893	1.762846	7.272916	-4.136598
1.180000	9.651476	1.720582	7.258370	-4.226392
1.190000	9.723915	1.677422	7.243853	-4.316006
1.200000	9.796209	1.633368	7.229365	-4.405440
1.210000	9.868358	1.588421	7.214907	-4.494696
1.220000	9.940363	1.542583	7.200477	-4.583773
1.230000	10.012223	1.495856	7.186076	-4.672672
1.240000	10.083940	1.448242	7.171704	-4.761393
1.250000	10.155514	1.399743	7.157360	-4.849937
1.260000	10.226944	1.350360	7.143045	-4.938303
1.270000	10.298232	1.300095	7.128759	-5.026493
1.280000	10.369377	1.248950	7.114502	-5.114507
1.290000	10.440380	1.196926	7.100273	-5.202344
1.300000	10.511240	1.144026	7.086072	-5.290006
1.310000	10.581959	1.090251	7.071900	-5.377492
1.320000	10.652537	1.035603	7.057756	-5.464804
1.330000	10.722973	0.980084	7.043641	-5.551941
1.340000	10.793269	0.923695	7.029554	-5.638903
1.350000	10.863424	0.866438	7.015494	-5.725692
1.360000	10.933439	0.808315	7.001463	-5.812307
1.370000	11.003313	0.749327	6.987461	-5.898749
1.380000	11.073048	0.689477	6.973486	-5.985018
1.390000	11.142643	0.628766	6.959539	-6.071115
1.400000	11.212100	0.567196	6.945620	-6.157039
1.410000	11.281417	0.504768	6.931728	-6.242791
1.420000	11.350595	0.441484	6.917865	-6.328372
1.430000	11.419636	0.377346	6.904029	-6.413782
1.440000	11.488538	0.312356	6.890221	-6.499021
1.450000	11.557302	0.246515	6.876441	-6.584089
1.460000	11.625929	0.179825	6.862688	-6.668988
1.470000	11.694419	0.112288	6.848962	-6.753716
1.480000	11.762772	0.043905	6.835264	-6.838275
